"gender","age","height","weight"
"M",17,179,65
"M",17,170,61
"F",17,157,51
"F",17,160,51
"F",17,159,51
"M",17,165,56
"F",17,157,55
"M",17,164,50
"F",17,153,50
"F",17,168,74
"F",17,159,55
"F",17,155,43
"M",17,180,87
"M",17,172,74
"F",17,160,74
"F",17,164,68
"F",17,166,62
"M",17,188,69
"M",17,176,59
"F",17,155,50
"F",17,157,58
"M",17,179,60
"F",17,153,46
"M",17,168,58
"M",17,173,66
"M",17,166,44
"F",17,160,55
"F",17,156,51
"M",17,181,71
"F",17,156,48
"M",17,163,58
"F",17,157,47
"M",17,163,64
"F",17,159,70
"F",17,163,58
"F",17,157,64
"M",17,169,60
"F",17,161,59
"F",17,158,52
"M",17,167,67
"F",17,161,52
"F",17,158,58
"M",17,170,44
"M",17,172,57
"F",17,157,68
"F",17,155,51
"M",17,172,53
"M",17,169,61
"M",17,178,65
"F",17,149,51
"M",17,184,76
"M",17,169,57
"M",17,173,65
"F",17,165,71
"M",17,165,56
"M",17,172,58
"F",17,156,55
"F",17,154,49
"F",17,162,52
"M",17,159,50
"F",17,151,46
"M",17,166,66
"M",17,169,59
"M",17,184,63
"M",17,167,63
"F",17,156,50
"F",17,158,43
"M",17,172,58
"M",17,166,51
"M",17,172,71
"M",17,166,97
"F",17,153,64
"M",17,166,57
"F",17,153,52
"F",17,161,62
"M",17,172,57
"M",17,173,62
"M",17,173,52
"F",17,164,50
"M",17,164,84
"M",17,175,48
"F",17,154,49
"F",17,153,48
"M",17,167,68
"F",17,175,67
"M",17,164,91
"M",17,165,62
"F",17,159,57
"F",17,160,43
"M",17,161,47
"F",17,154,52
"M",17,171,59
"F",17,152,41
"F",17,150,50
"F",17,161,56
"F",17,159,57
"M",17,174,64
"F",17,160,53
"M",17,171,59
"F",17,151,60
"F",17,151,42
"M",17,171,50
"F",17,160,51
"M",17,179,63
"F",17,155,49
"M",17,174,75
"M",17,159,55
"M",17,168,52
"F",17,158,44
"F",17,155,55
"M",17,166,53
"F",17,162,51
"F",17,150,46
"M",17,170,54
"F",17,156,45
"M",17,179,88
"F",17,164,55
"F",17,158,60
"F",17,155,51
"F",17,156,49
"F",17,155,46
"M",17,163,63
"M",17,173,57
"M",17,176,65
"F",17,146,49
"M",17,172,70
"M",17,170,64
"F",17,155,37
"M",17,153,54
"F",17,166,50
"M",17,167,58
"F",17,160,46
"M",17,167,90
"F",17,162,56
"F",17,154,42
"M",17,175,52
"F",17,155,52
"M",17,179,55
"M",17,162,54
"M",17,166,66
"M",17,165,74
"F",17,152,47
"M",17,164,53
"F",17,156,50
"M",17,166,56
"F",17,167,55
"M",17,172,66
"F",17,156,47
"F",17,152,43
"F",17,152,43
"F",17,150,44
"M",17,170,61
"M",17,175,84
"M",17,170,62
"M",17,165,49
"F",17,155,52
"F",17,167,67
"F",17,155,50
"F",17,154,45
"M",17,170,84
"M",17,172,65
"F",17,146,50
"F",17,162,55
"M",17,170,56
"M",17,175,74
"M",17,174,63
"M",17,165,59
"M",17,171,54
"M",17,173,63
"M",17,168,62
"M",17,175,78
"M",17,174,59
"F",17,151,42
"F",17,163,62
"F",17,163,60
"M",17,172,91
"F",17,172,60
"M",17,174,63
"F",17,151,47
"F",17,152,41
"M",17,165,42
"F",17,161,51
"M",17,174,89
"M",17,175,64
"M",17,174,58
"M",17,178,58
"F",17,160,58
"F",17,161,53
"M",17,165,63
"M",17,172,53
"F",17,151,76
"M",17,171,67
"M",17,168,57
"F",17,162,55
"M",17,177,90
"M",17,171,55
"F",17,164,52
"M",17,170,56
"M",17,178,63
"M",17,164,52
"F",17,162,56
"M",17,167,57
"F",17,152,42
"M",17,175,94
"F",17,155,52
"F",17,156,54
"M",17,172,65
"F",17,155,50
"M",17,158,56
"M",17,172,55
"F",17,158,48
"M",17,164,53
"M",17,175,65
"M",17,159,52
"M",17,174,68
"F",17,165,55
"F",17,165,56
"M",17,176,94
"F",17,163,45
"M",17,166,67
"F",17,151,48
"F",17,158,64
"F",17,158,55
"M",17,166,61
"M",17,170,55
"F",17,163,55
"F",17,148,47
"F",17,162,63
"F",17,158,51
"M",17,175,66
"M",17,177,65
"M",17,170,84
"M",17,171,83
"M",17,166,59
"F",17,152,38
"F",17,153,54
"M",17,174,69
"F",17,150,42
"F",17,155,36
"F",17,159,54
"F",17,162,57
"M",17,174,69
"M",17,173,61
"M",17,175,72
"F",17,156,53
"M",17,172,61
"M",17,176,61
"F",17,164,62
"M",17,174,96
"M",17,166,52
"M",17,169,54
"M",17,172,58
"F",17,158,50
"M",17,178,60
"F",17,158,53
"M",17,163,66
"M",17,177,98
"M",17,165,60
"F",17,153,53
"F",17,170,58
"M",17,169,56
"M",17,173,54
"M",17,174,60
"M",17,167,77
"F",17,160,57
"M",17,154,42
"M",17,165,65
"M",17,174,85
"F",17,165,53
"F",17,154,48
"M",17,169,64
"F",17,153,46
"M",17,169,78
"M",17,177,67
"M",17,171,57
"F",17,163,54
"M",17,162,51
"F",17,154,50
"M",17,179,66
"F",17,160,50
"M",17,175,52
"M",17,174,64
"M",17,167,61
"F",17,165,63
"F",17,164,58
"M",17,169,45
"F",17,162,66
"F",17,160,56
"M",17,170,52
"M",17,168,65
"M",17,175,56
"M",17,173,63
"F",17,165,57
"M",17,179,62
"M",17,170,60
"F",17,163,67
"M",17,179,64
"M",17,174,55
"M",17,168,52
"M",17,165,66
"F",17,166,62
"M",17,169,64
"M",17,173,45
"M",17,171,62
"F",17,164,59
"F",17,157,46
"F",17,165,86
"F",17,164,56
"M",17,168,98
"M",17,177,58
"M",17,171,70
"M",17,168,52
"M",17,173,86
"M",17,156,48
"F",17,165,56
"M",17,160,65
"M",17,174,57
"M",17,169,74
"F",17,155,41
"M",17,169,65
"F",17,152,43
"M",17,175,57
"M",17,178,70
"M",17,179,71
"F",17,165,58
"F",17,160,55
"M",17,177,57
"F",17,163,63
"F",17,163,60
"F",17,152,42
"M",17,171,57
"F",17,164,56
"F",17,158,49
"F",17,149,45
"M",17,161,46
"F",17,164,54
"M",17,185,70
"F",17,157,53
"M",17,168,51
"M",17,179,63
"M",17,172,59
"M",17,174,80
"F",17,158,60
"M",17,168,59
"M",17,169,54
"F",17,150,54
"F",17,157,60
"M",17,173,57
"M",17,167,54
"F",17,147,48
"M",17,177,95
"M",17,167,74
"M",17,161,51
"F",17,163,54
"M",17,174,57
"F",17,169,62
"F",17,153,47
"F",17,146,48
"F",17,159,58
"F",17,150,42
"M",17,159,57
"M",17,167,84
"F",17,156,49
"F",17,154,50
"M",17,175,66
"M",17,160,48
"F",17,156,44
"F",17,152,46
"M",17,183,78
"M",17,178,69
"M",17,168,49
"F",17,162,49
"F",17,159,52
"M",17,170,65
"M",17,163,58
"M",17,168,71
"F",17,157,62
"F",17,158,57
"F",17,150,44
"F",17,173,80
"F",17,167,53
"F",17,158,55
"F",17,154,61
"F",17,161,51
"F",17,167,55
"F",17,158,52
"M",17,177,62
"F",17,158,49
"M",17,169,56
"M",17,166,57
"F",17,158,53
"F",17,169,57
"M",17,174,66
"M",17,167,51
"F",17,149,38
"M",17,173,58
"F",17,150,53
"M",17,175,73
"M",17,173,71
"F",17,159,55
"M",17,163,74
"M",17,172,65
"F",17,163,53
"M",17,172,74
"M",17,162,65
"M",17,157,57
"M",17,169,68
"M",17,174,61
"M",17,176,54
"M",17,183,75
"F",17,162,53
"F",17,162,58
"F",17,160,66
"F",17,160,71
"F",17,159,51
"F",17,159,55
"F",17,163,53
"M",17,171,68
"M",17,170,63
"F",17,166,64
"M",17,182,78
"M",17,176,66
"M",17,162,50
"M",17,177,58
"F",17,157,43
"M",17,171,59
"F",17,149,48
"M",17,169,51
"M",17,170,61
"M",17,171,81
"F",17,159,56
"M",17,156,56
"F",17,149,47
"M",17,183,81
"M",17,174,47
"F",17,149,46
"M",17,167,55
"F",17,154,53
"M",17,175,75
"M",17,165,52
"F",17,162,41
"M",17,173,56
"M",17,165,60
"M",17,170,51
"F",17,155,48
"M",17,178,80
"F",17,142,43
"F",17,165,79
"M",17,169,61
"M",17,170,61
"M",17,172,57
"M",17,170,58
"M",17,172,56
"F",17,160,46
"F",17,160,46
"M",17,169,58
"M",17,183,63
"F",17,164,61
"M",17,165,43
"M",17,177,60
"F",17,158,49
"M",17,168,77
"F",17,163,48
"F",17,161,55
"M",17,177,73
"M",17,173,54
"F",17,164,59
"M",17,171,69
"F",17,154,51
"F",17,159,47
"F",17,161,47
"M",17,160,56
"F",17,158,61
"M",17,165,50
"M",17,185,84
"M",17,168,54
"F",17,166,68
"F",17,158,50
"F",17,155,53
"F",17,165,65
"F",17,169,64
"F",17,161,51
"F",17,172,70
"M",17,169,55
"F",17,153,48
"F",17,152,44
"F",17,159,66
"M",17,169,67
"M",17,171,61
"M",17,166,86
"F",17,161,59
"F",17,160,53
"M",17,166,54
"F",17,162,53
"M",17,170,45
"F",17,162,47
"F",17,150,48
"F",17,155,53
"F",17,160,47
"F",17,157,75
"F",17,152,53
"M",17,160,52
"M",17,171,59
"M",17,171,66
"M",17,172,50
"M",17,169,62
"F",17,147,73
"F",17,147,52
"M",17,172,64
"F",17,155,60
"F",17,152,49
"F",17,158,55
"M",17,168,52
"F",17,157,58
"M",17,178,60
"M",17,175,71
"F",17,144,52
"M",17,180,82
"M",17,173,64
"F",17,162,45
"M",17,164,86
"M",17,166,51
"M",17,165,58
"M",17,173,77
"F",17,154,58
"M",17,171,74
"M",17,180,64
"M",17,178,64
"M",17,171,55
"M",17,166,65
"M",17,168,59
"M",17,167,47
"F",17,167,66
"M",17,166,67
"F",17,160,51
"F",17,158,51
"M",17,167,51
"F",17,157,51
"F",17,153,49
"F",17,165,53
"M",17,171,55
"F",17,170,57
"F",17,164,57
"M",17,166,55
"F",17,151,47
"F",17,156,48
"F",17,169,67
"M",17,172,59
"F",17,158,51
"F",17,164,57
"F",17,152,43
"M",17,166,58
"F",17,142,50
"F",17,166,61
"M",17,174,63
"M",17,161,80
"F",17,160,60
"M",17,167,51
"M",17,176,93
"F",17,158,58
"M",17,179,73
"M",17,174,51
"F",17,159,54
"M",17,174,73
"F",17,158,51
"M",17,173,63
"F",17,164,45
"F",17,159,55
"F",17,155,57
"F",17,153,47
"M",17,174,80
"M",17,174,68
"M",17,168,61
"F",17,156,52
"F",17,147,54
"F",17,162,60
"M",17,165,49
"F",17,153,57
"F",17,151,55
"M",17,162,50
"M",17,177,65
"M",17,169,85
"M",17,182,71
"F",17,164,52
"F",17,160,49
"F",17,159,40
"M",17,163,61
"M",17,171,59
"F",17,157,54
"F",17,162,60
"M",17,173,60
"M",17,171,53
"F",17,162,63
"M",17,162,54
"F",17,155,68
"F",17,157,60
"F",17,159,49
"F",17,152,50
"M",17,162,67
"F",17,150,45
"F",17,162,57
"M",17,167,64
"F",17,162,57
"F",17,156,52
"M",17,168,63
"M",17,168,48
"F",17,157,54
"M",17,171,61
"M",17,176,55
"M",17,174,79
"F",17,156,54
"M",17,169,60
"F",17,162,62
"F",17,150,43
"F",17,156,49
"F",17,162,67
"M",17,180,62
"F",17,166,55
"F",17,171,49
"M",17,170,65
"M",17,170,67
"M",17,168,45
"M",17,172,56
"F",17,158,45
"F",17,154,47
"F",17,147,53
"M",17,164,55
"F",17,158,57
"F",17,165,72
"F",17,154,53
"M",17,162,53
"F",17,153,52
"M",17,179,71
"M",17,172,52
"M",17,161,58
"M",17,175,60
"M",17,169,59
"M",17,160,51
"M",17,176,66
"F",17,165,64
"M",17,181,51
"M",17,167,58
"F",17,163,54
"F",17,155,47
"M",17,175,64
"M",17,178,70
"M",17,170,60
"M",17,170,63
"M",17,164,57
"F",17,173,60
"F",17,159,55
"F",17,154,47
"F",17,147,80
"F",17,154,54
"F",17,160,49
"M",17,169,57
"F",17,157,51
"F",17,160,47
"M",17,166,56
"M",17,170,49
"F",17,159,46
"M",17,178,65
"F",17,156,49
"F",17,159,50
"F",17,163,52
"F",17,164,49
"F",17,152,48
"F",17,159,60
"M",17,184,58
"M",17,169,61
"F",17,166,51
"M",17,165,83
"F",17,159,51
"M",17,174,61
"M",17,170,74
"M",17,169,76
"M",17,170,81
"M",17,177,54
"M",17,183,75
"F",17,150,45
"M",17,168,82
"F",17,161,52
"F",17,159,46
"M",17,166,64
"F",17,162,61
"M",17,170,72
"F",17,160,58
"F",17,160,50
"M",17,171,49
"M",17,172,53
"F",17,151,47
"F",17,144,47
"F",17,152,53
"F",17,162,48
"M",17,176,98
"F",17,164,54
"M",17,179,68
"M",17,166,48
"M",17,160,56
"F",17,156,56
"M",17,164,70
"F",17,155,41
"M",17,178,61
"F",17,150,40
"M",17,174,52
"F",17,153,52
"F",17,144,42
"F",17,158,53
"F",17,164,67
"F",17,153,45
"F",17,152,49
"M",17,169,60
"M",17,157,64
"M",17,162,59
"M",17,177,58
"F",17,166,59
