"score","gender"
482,"F"
409,"M"
431,"F"
502,"F"
642,"M"
413,"F"
588,"M"
629,"F"
503,"F"
469,"M"
557,"F"
467,"M"
446,"F"
483,"F"
537,"M"
395,"M"
649,"F"
378,"F"
569,"M"
602,"M"
442,"F"
368,"M"
591,"M"
513,"M"
538,"M"
586,"F"
462,"F"
605,"M"
525,"F"
527,"F"
581,"F"
525,"F"
630,"F"
624,"F"
519,"F"
476,"F"
380,"M"
650,"M"
409,"M"
514,"M"
574,"F"
576,"F"
409,"M"
640,"M"
457,"F"
475,"M"
460,"M"
370,"F"
491,"M"
425,"F"
516,"F"
560,"M"
366,"M"
629,"M"
604,"F"
518,"M"
575,"F"
563,"M"
476,"M"
617,"F"
560,"M"
424,"M"
558,"M"
509,"M"
534,"M"
479,"M"
641,"F"
603,"F"
708,"M"
509,"F"
515,"F"
654,"M"
626,"F"
535,"F"
562,"F"
653,"M"
585,"F"
613,"F"
465,"M"
554,"F"
569,"F"
588,"F"
646,"F"
327,"F"
405,"M"
558,"F"
480,"M"
674,"M"
581,"M"
480,"M"
614,"M"
482,"M"
604,"F"
599,"F"
519,"F"
654,"F"
413,"F"
600,"M"
397,"M"
500,"F"
555,"F"
494,"M"
476,"M"
375,"F"
479,"M"
564,"F"
652,"M"
606,"F"
293,"F"
428,"M"
675,"M"
464,"M"
515,"M"
470,"F"
519,"F"
327,"F"
569,"F"
414,"F"
745,"M"
593,"F"
623,"F"
522,"F"
655,"M"
568,"F"
507,"M"
422,"M"
518,"F"
512,"M"
725,"M"
592,"F"
640,"M"
382,"F"
563,"F"
590,"M"
546,"M"
597,"M"
594,"M"
386,"F"
567,"M"
526,"M"
573,"F"
435,"F"
621,"M"
467,"M"
495,"M"
482,"M"
546,"F"
575,"F"
655,"F"
354,"F"
401,"M"
616,"M"
554,"F"
521,"F"
520,"F"
535,"F"
587,"F"
507,"F"
466,"F"
531,"F"
547,"M"
493,"F"
523,"F"
484,"M"
566,"M"
564,"M"
447,"M"
564,"M"
558,"M"
571,"F"
675,"M"
488,"F"
469,"F"
640,"F"
530,"F"
518,"F"
422,"F"
589,"M"
532,"F"
566,"F"
543,"F"
488,"F"
477,"F"
486,"M"
544,"F"
393,"M"
508,"F"
500,"F"
468,"F"
671,"F"
507,"M"
486,"F"
412,"F"
338,"F"
438,"F"
471,"M"
578,"F"
456,"F"
436,"F"
485,"F"
515,"F"
552,"M"
407,"F"
660,"M"
470,"M"
611,"M"
435,"M"
564,"F"
358,"M"
518,"M"
538,"M"
532,"M"
567,"M"
732,"M"
596,"F"
565,"M"
617,"M"
398,"F"
553,"F"
583,"F"
687,"M"
463,"F"
453,"F"
405,"M"
530,"F"
504,"M"
520,"M"
625,"F"
460,"F"
443,"F"
696,"M"
697,"F"
513,"M"
443,"F"
580,"M"
550,"M"
535,"M"
674,"M"
505,"M"
560,"M"
584,"M"
469,"M"
459,"F"
609,"F"
445,"F"
646,"M"
655,"M"
362,"F"
363,"M"
488,"F"
646,"F"
620,"M"
477,"F"
548,"F"
415,"F"
527,"M"
775,"F"
577,"M"
581,"M"
537,"M"
546,"F"
835,"M"
401,"M"
364,"M"
616,"F"
343,"F"
607,"M"
450,"M"
644,"M"
682,"F"
649,"F"
573,"M"
506,"F"
665,"F"
423,"F"
500,"F"
408,"M"
558,"M"
644,"F"
669,"M"
450,"M"
509,"F"
476,"M"
661,"F"
548,"F"
555,"F"
518,"M"
517,"F"
510,"M"
528,"M"
400,"F"
490,"F"
691,"M"
486,"F"
455,"F"
336,"M"
358,"F"
475,"M"
441,"F"
390,"F"
465,"M"
480,"M"
648,"F"
535,"M"
479,"F"
625,"M"
578,"F"
565,"F"
654,"F"
512,"M"
544,"M"
744,"M"
377,"M"
515,"F"
272,"F"
649,"F"
682,"M"
410,"F"
712,"M"
586,"M"
648,"F"
570,"M"
523,"F"
443,"F"
449,"M"
428,"M"
420,"F"
458,"M"
590,"M"
310,"F"
509,"F"
523,"F"
455,"M"
607,"F"
655,"M"
556,"F"
497,"M"
464,"M"
541,"M"
412,"F"
409,"F"
633,"F"
603,"F"
582,"F"
563,"F"
714,"F"
543,"F"
482,"F"
567,"F"
452,"M"
497,"F"
550,"F"
514,"M"
522,"F"
551,"M"
430,"F"
537,"M"
558,"M"
567,"F"
432,"M"
441,"M"
592,"M"
581,"M"
425,"F"
503,"F"
448,"F"
761,"M"
488,"F"
386,"M"
409,"M"
354,"F"
418,"M"
461,"F"
294,"M"
547,"M"
482,"F"
510,"M"
479,"F"
473,"F"
567,"F"
561,"F"
782,"M"
405,"M"
633,"F"
595,"F"
599,"F"
596,"M"
507,"M"
648,"F"
588,"M"
433,"F"
612,"F"
652,"F"
478,"F"
488,"F"
519,"F"
660,"M"
455,"F"
531,"M"
461,"F"
520,"M"
538,"F"
653,"F"
678,"M"
670,"M"
671,"M"
493,"M"
568,"M"
456,"F"
349,"F"
596,"M"
396,"F"
568,"M"
399,"M"
336,"M"
357,"M"
474,"F"
580,"F"
647,"M"
524,"F"
