顧客ID,性別,高齢者,既婚者,音声通話,インターネット,契約期間,支払方法,国際通話,通話分数_昼,通話回数_昼,通話分数_夕,通話回数_夕,通話分数_夜,通話回数_夜,サービスコール,月間支払額,解約
0002-ORFBO,F,0,1,1,1,1,0,0,18.76,15.22,26.82,11.89,22.76,11.78,0,65.92,0
0004-TLHLJ,M,0,0,1,2,0,1,1,30.55,28,32.92,23.5,42.38,26.5,1.25,70.22,1
0013-MHZWF,F,0,0,1,1,0,3,0,19.86,14.89,19.84,11.33,14.09,9.11,0.22,63.5,0
0013-SMEOE,F,1,1,1,2,2,2,0,2.68,0.96,3.69,0.9,1.83,1.3,0,111.33,0
0015-UOCOJ,F,1,0,1,1,0,1,0,9.67,9.71,27.96,12.29,33.79,19.57,0.14,48.63,0
0018-NYROU,F,0,1,1,2,0,1,0,34.86,19,37.32,25.6,51.64,21,0.6,70.3,0
0021-IKXGC,F,1,0,1,2,0,1,1,111.9,55,223,124,243.2,81,3,72.1,0
0022-TCJCI,M,1,0,1,1,1,3,0,6.74,2.96,3.79,1.91,5.06,1.78,0,62.03,1
0030-FNXPP,F,0,0,1,0,0,0,0,20.13,52.67,102.07,40,41.3,15.33,0.33,19.07,0
0031-PVLZI,F,0,1,1,0,0,0,0,80.33,24.75,41.98,23.25,48.4,26.5,0.25,19.1,1
0036-IHMOT,F,0,1,1,2,1,2,0,3.9,1.76,2.52,1.64,3.07,0.8,0.02,102.85,0
0040-HALCW,M,0,1,1,0,2,3,0,2.12,1.89,3.52,1.91,4.45,2.06,0.06,20.2,0
0042-JVWOJ,M,0,0,1,0,1,2,0,6.03,1.96,9.1,4.54,4.74,4.27,0.08,18.15,0
0042-RLHYP,F,0,1,1,0,2,2,0,4.5,1.41,0.96,1.78,3.57,1.43,0.06,20.24,0
0048-LUMLS,M,0,1,1,2,1,3,1,6.61,2.41,5.1,2.16,5.57,3.08,0.03,87.77,0
0048-PIHNL,F,0,1,1,0,1,2,0,3.87,2.49,2.12,1.94,3.69,2.16,0.04,18.39,0
0052-YNYOT,F,0,0,1,0,1,1,1,3.74,2.18,2.28,1.57,2.21,1.55,0.03,20.05,0
0064-SUDOG,F,0,1,1,0,2,2,0,12.84,10.17,16.27,12.5,23.06,7.17,0.33,18.71,0
0067-DKWBL,M,1,0,1,1,0,1,0,117.1,64,146.55,46,91.95,39.5,0,45.55,1
0068-FIGTF,F,0,0,1,1,1,0,0,9.74,5,5.54,3.56,5.2,4.04,0.04,77,0
0074-HDKDG,M,0,1,1,1,1,2,0,7.36,4.8,4.82,4.76,6.15,3.44,0,64.44,0
0078-XZMHT,M,0,1,1,1,2,2,0,2.73,1.24,2.51,1.32,3.4,1.15,0.01,87.72,0
0080-EMYVY,F,0,0,1,1,1,3,0,9.19,5.57,17.2,9.5,16.98,8.64,0.07,51.99,0
0080-OROZO,F,0,0,1,2,1,1,0,4.27,3.17,3.77,3.23,3.79,2.49,0,100.91,0
0082-LDZUE,M,0,0,1,1,0,0,0,186.2,117,286.7,76,164.3,113,2,44.3,0
0082-OQIQY,M,0,0,1,2,0,1,0,7.3,3.69,9.37,2.66,7.01,3.72,0,89.92,0
0093-EXYQL,F,1,0,1,2,0,1,0,4.39,3.48,3.88,2.45,4.52,1.6,0.05,91.84,0
0094-OIFMO,F,1,0,1,2,0,1,0,22.75,11,24.28,10.73,13.73,10.36,0.09,101.85,1
0098-BOWSO,M,0,0,1,0,0,1,0,3.94,4.04,4,4.19,7.72,4.11,0.04,19.62,0
0104-PPXDV,M,0,1,1,1,1,3,0,2.45,2.14,3.16,2.22,2.84,1.97,0.02,49.63,0
0107-WESLM,M,0,0,1,0,0,1,1,160,95,209.5,110,82.3,107,5,19.9,1
0111-KLBQG,M,1,1,1,2,0,0,0,4.6,2.84,5.95,3.34,6.1,3.59,0,89.42,0
0114-RSRRW,F,0,1,1,0,0,2,0,23.45,10.9,21.65,12.9,19.16,9.4,0.3,18.78,0
