Noise,RPM,Check
1.55,16.23,1
1.59,4.68,0
1.62,15.29,1
1.65,17.8,1
1.82,4.23,0
1.93,16.72,1
1.95,5.63,0
2.07,9.13,0
2.09,16.11,1
2.1,3.29,0
2.18,4.13,0
2.32,18.77,1
2.34,5.45,0
2.37,5.96,0
2.4,10.37,0
2.4,15.39,1
2.43,4.12,0
2.47,10.8,0
2.67,20.07,1
2.68,19.54,0
2.7,14.14,1
2.76,15.51,1
2.77,11.78,1
2.8,16.78,1
2.8,18.28,0
2.95,11.78,1
2.96,15.69,1
2.97,13.2,0
2.97,14.8,1
3.02,17.66,1
3.03,16.39,1
3.1,16.89,1
3.1,16.3,1
3.12,12.94,1
3.17,11.08,0
3.21,9.29,0
3.21,15.64,0
3.22,17.93,1
3.23,2.69,0
3.23,4.43,0
3.28,17.21,1
3.31,15.14,1
3.32,4.06,0
3.32,14.32,1
3.32,16.8,1
3.36,11.71,1
3.36,18.7,1
3.39,16.44,1
3.44,18.32,1
3.46,8.26,0
3.5,20.59,1
3.51,14.36,1
3.54,20.52,1
3.55,16.34,0
3.56,18.63,1
3.56,14.41,1
3.59,16.48,1
3.64,16.23,1
3.69,9.97,0
3.71,10.54,0
3.72,17.34,1
3.75,13.66,1
3.75,16.09,1
3.77,17.54,1
3.78,12.3,0
3.78,18.41,1
3.79,8.3,0
3.8,21.86,1
3.8,14.31,1
3.82,5.18,0
3.84,7.75,0
3.88,15.91,1
3.89,18.46,1
3.9,10.5,0
3.9,21.87,1
3.92,16.24,1
3.92,15.2,1
3.94,10.32,0
3.95,16.08,1
3.97,10.75,0
3.98,14,0
3.99,14.26,1
4.06,20.02,1
4.08,17.72,0
4.1,6.4,0
4.18,10.23,1
4.21,11.48,0
4.21,18.06,1
4.21,15.14,1
4.23,15.43,1
4.25,17.07,1
4.27,13.76,1
4.34,16.41,1
4.41,10.15,0
4.41,18.03,1
4.49,5.92,0
4.49,10.43,0
4.5,12.15,1
4.52,11.76,0
4.54,15.62,1
4.57,16.82,1
4.6,16.22,1
4.6,16.28,1
4.63,16.97,1
4.64,14.68,1
4.65,18.97,1
4.66,11.19,0
4.67,16.86,0
4.68,14.29,1
4.7,5.91,0
4.71,13.98,1
4.77,18.37,1
4.78,12.44,0
4.8,16.1,1
4.83,8.76,0
4.83,11.58,0
4.83,15.52,0
4.84,15.53,1
4.84,17.76,1
4.88,11.16,0
4.93,11.77,1
4.93,7.81,0
4.93,4.77,0
4.93,11.56,0
4.93,15.84,1
4.95,16.18,1
4.95,17.42,1
4.99,11.06,0
5,16.82,1
5.04,16.39,1
5.05,14.35,1
5.06,12.09,0
5.06,15.11,1
5.06,22.01,1
5.08,16.55,1
5.08,17.07,1
5.08,11.26,1
5.09,15.22,1
5.12,12.24,0
5.12,14.34,1
5.12,17.37,1
5.14,8.57,0
5.14,17.21,0
5.16,15.59,1
5.17,12.37,0
5.22,17.24,1
5.23,15.83,1
5.24,15.27,1
5.25,19.4,1
5.29,4.64,0
5.3,18.09,1
5.3,19.43,1
5.31,18.19,1
5.31,15.55,0
5.35,12.77,0
5.35,9.55,0
5.36,6.71,0
5.38,11.91,0
5.39,12.17,0
5.4,21.08,1
5.42,4.43,0
5.45,22.36,1
5.45,20.13,0
5.47,13.36,1
5.5,22.91,1
5.51,19.16,0
5.54,17.54,1
5.57,10.98,0
5.61,15.28,1
5.62,8.72,0
5.63,20.64,1
5.64,9.87,0
5.65,18.5,1
5.66,4.73,0
5.68,10.83,0
5.69,20.83,1
5.7,19.55,0
5.74,15.06,0
5.75,12.39,0
5.79,4.55,0
5.81,8.76,0
5.81,15.86,1
5.82,5.58,0
5.84,12.17,0
5.84,21.02,1
5.84,6.57,0
5.85,17.07,1
5.86,15.18,0
5.86,16.19,0
5.87,13.52,1
5.88,12.71,0
5.9,14.77,1
5.92,8.2,0
5.92,6.47,0
5.92,18.47,0
5.94,16.55,1
5.97,7.5,0
5.98,16.19,1
5.99,11.74,0
6,8.33,0
6.01,12,1
6.02,17.92,0
6.03,20,1
6.03,17.67,0
6.05,18.4,1
6.08,6.77,0
6.13,18.22,1
6.14,7.79,0
6.15,7.88,0
6.15,16.63,0
6.15,17.14,0
6.16,13.2,1
6.16,7.27,0
6.16,8.25,0
6.21,3.96,0
6.22,5.16,0
6.23,12.2,1
6.23,16.17,1
6.23,11.78,1
6.24,15.13,1
6.25,15.86,1
6.26,9.76,0
6.27,16.05,1
6.28,20.04,1
6.31,11.58,0
6.31,17.09,0
6.32,9.17,0
6.32,9.96,0
6.33,12.05,0
6.34,10.03,1
6.35,11.15,0
6.36,6.09,0
6.38,12.89,0
6.39,9.16,0
6.41,11.91,0
6.41,19.61,1
6.42,11.75,0
6.43,6.63,0
6.43,9.9,0
6.45,15.32,1
6.48,19.58,1
6.48,18.55,0
6.48,15.31,0
6.5,18.85,1
6.51,9.93,0
6.54,5.73,0
6.54,7.83,0
6.55,19.68,1
6.56,19.87,0
6.58,8.92,0
6.58,16.14,1
6.59,7.57,0
6.59,17.26,1
6.59,19.04,0
6.61,9.99,0
6.63,14.2,1
6.63,18.5,1
6.65,9.39,0
6.66,10.32,0
6.66,3.66,0
6.66,17.22,0
6.68,13.47,1
6.68,15.46,0
6.7,12.85,1
6.7,13.47,0
6.71,4.95,0
6.71,17.47,0
6.72,5.39,0
6.72,15.99,0
6.73,11.49,0
6.73,9.92,0
6.73,6.02,0
6.74,4.53,0
6.74,18.2,0
6.74,15.38,0
6.75,10.98,1
6.75,7.47,0
6.77,11.56,0
6.77,15.26,1
6.78,14.88,1
6.79,12.08,1
6.8,16.18,1
6.81,14.31,0
6.83,20.98,1
6.84,7.05,0
6.85,19.03,1
6.85,19.05,0
6.87,8.01,0
6.87,17.03,1
6.87,19.69,0
6.88,8.07,0
6.89,7.34,0
6.91,16.77,0
6.92,20.12,1
6.94,11.79,0
6.94,8.93,0
6.94,8.41,0
6.96,12.69,1
6.96,16.19,1
6.98,5.09,0
7,11.91,0
7.01,16,1
7.01,16.75,0
7.02,5.02,0
